Plant;Material;Timeperiod;Revenue;Quantity
BBB;245;05/01/18;15;0.75
BBB;246;06/01/18;25;1.25
BBB;247;07/01/18;25;1.25
BBB;248;08/01/18;25;1.25
BBB;249;09/01/18;35;1.75
BBB;250;10/01/18;35;1.75
BBB;251;11/01/18;35;1.75
BBB;252;12/01/18;35;1.75
BBB;253;01/01/19;55;2.75
BBB;254;02/01/19;55;2.75
BBB;255;03/01/19;55;2.75
BBB;256;04/01/19;55;2.75
BBB;257;05/01/19;10;0.5
BBB;258;06/01/19;10;0.5
BBB;259;07/01/19;10;0.5
BBB;260;08/01/19;30;1.5
BBB;261;09/01/19;30;1.5
BBB;262;10/01/19;30;1.5
BBB;263;11/01/19;30;1.5
BBB;264;12/01/19;30;1.5
CCC;265;01/01/18;2500;125
CCC;266;02/01/18;2500;125
CCC;267;03/01/18;2500;125
CCC;268;04/01/18;2500;125
CCC;269;05/01/18;2500;125
CCC;270;06/01/18;3000;150
CCC;271;07/01/18;3000;150
CCC;272;08/01/18;3000;150
CCC;273;09/01/18;3000;150
CCC;274;10/01/18;3000;150
CCC;275;11/01/18;250;12.5
CCC;276;12/01/18;250;12.5
CCC;277;01/01/19;100;5
CCC;278;02/01/19;100;5
CCC;279;03/01/19;100;5
CCC;280;04/01/19;100;5
CCC;281;05/01/19;500;25
CCC;282;06/01/19;500;25
CCC;283;07/01/19;500;25
CCC;284;08/01/19;1500;75
CCC;285;09/01/19;1500;75
CCC;286;10/01/19;1500;75
CCC;287;11/01/19;2000;100
CCC;288;12/01/19;2000;100
DDD;289;01/01/18;333;16.65
DDD;290;02/01/18;333;16.65
DDD;291;03/01/18;333;16.65
DDD;292;04/01/18;333;16.65
DDD;293;05/01/18;666;33.3
DDD;294;06/01/18;666;33.3
DDD;295;07/01/18;666;33.3
DDD;296;08/01/18;666;33.3
DDD;297;09/01/18;666;33.3
DDD;298;10/01/18;666;33.3
DDD;299;11/01/18;999;49.95
DDD;300;12/01/18;999;49.95
DDD;301;01/01/19;999;49.95
DDD;302;02/01/19;999;49.95
DDD;303;03/01/19;999;49.95
DDD;304;04/01/19;999;49.95
DDD;305;05/01/19;1232;61.6
DDD;306;06/01/19;1232;61.6
DDD;307;07/01/19;1232;61.6
DDD;308;08/01/19;1232;61.6
DDD;309;09/01/19;1232;61.6
DDD;310;10/01/19;1500;75
DDD;311;11/01/19;1500;75
DDD;312;12/01/19;1500;75
EEE;313;01/01/18;40000;2000
EEE;314;02/01/18;40000;2000
EEE;315;03/01/18;40000;2000
EEE;316;04/01/18;200;10
EEE;317;05/01/18;200;10
EEE;318;06/01/18;200;10
EEE;319;07/01/18;30000;1500
EEE;320;08/01/18;30000;1500
EEE;321;09/01/18;30000;1500
EEE;322;10/01/18;30000;1500
EEE;323;11/01/18;500;25
EEE;324;12/01/18;500;25
EEE;325;01/01/19;500;25
EEE;326;02/01/19;500;25
EEE;327;03/01/19;3800;190
EEE;328;04/01/19;3800;190
EEE;329;05/01/19;3800;190
EEE;330;06/01/19;3800;190
EEE;331;07/01/19;400;20
EEE;332;08/01/19;400;20
EEE;333;09/01/19;400;20
EEE;334;10/01/19;40000;2000
EEE;335;11/01/19;40000;2000
EEE;336;12/01/19;40000;2000
X111;337;01/01/18;2000;100
X111;338;02/01/18;3500;175
X111;339;03/01/18;1500;75
X111;340;04/01/18;2000;100
X111;341;05/01/18;1500;75
X111;342;06/01/18;3000;150
X111;343;07/01/18;3000;150
X111;344;08/01/18;2000;100
X111;345;09/01/18;3000;150
X111;346;10/01/18;3000;150
X111;347;11/01/18;1750;87.5
X111;348;12/01/18;2000;100
X111;349;01/01/19;1750;87.5
X111;350;02/01/19;1500;75
X111;351;03/01/19;1750;87.5
X111;352;04/01/19;3000;150
X111;353;05/01/19;1800;90
X111;354;06/01/19;1500;75
X111;355;07/01/19;1750;87.5
X111;356;08/01/19;1750;87.5
X111;357;09/01/19;1500;75
X111;358;10/01/19;3000;150
X111;359;11/01/19;1000;50
X111;360;12/01/19;3000;150
X222;361;01/01/18;400;20
X222;362;02/01/18;700;35
X222;363;03/01/18;500;25
X222;364;04/01/18;600;30
X222;365;05/01/18;600;30
X222;366;06/01/18;400;20
X222;367;07/01/18;500;25
X222;368;08/01/18;600;30
X222;369;09/01/18;600;30
X222;370;10/01/18;600;30
X222;371;11/01/18;700;35
X222;372;12/01/18;400;20
X222;373;01/01/19;500;25
X222;374;02/01/19;600;30
X222;375;03/01/19;400;20
X222;376;04/01/19;500;25
X222;377;05/01/19;700;35
X222;378;06/01/19;600;30
X222;379;07/01/19;600;30
X222;380;08/01/19;600;30
X222;381;09/01/19;700;35
X222;382;10/01/19;400;20
X222;383;11/01/19;500;25
X222;384;12/01/19;600;30
X333;385;01/01/18;1000;50
X333;386;02/01/18;1000;50
X333;387;03/01/18;1000;50
X333;388;04/01/18;500;25
X333;389;05/01/18;1000;50
X333;390;06/01/18;1000;50
X333;391;07/01/18;1000;50
X333;392;08/01/18;1000;50
X333;393;09/01/18;1000;50
X333;394;10/01/18;800;40
X333;395;11/01/18;1100;55
X333;396;12/01/18;1100;55
X333;397;01/01/19;1100;55
X333;398;02/01/19;1050;52.5
X333;399;03/01/19;1100;55
X333;400;04/01/19;1100;55
X333;401;05/01/19;1440;72
X333;402;06/01/19;1200;60
X333;403;07/01/19;1440;72
X333;404;08/01/19;1440;72
X333;405;09/01/19;2000;100
X333;406;10/01/19;1440;72
X333;407;11/01/19;1600;80
X333;408;12/01/19;1440;72
X444;409;01/01/18;100;5
X444;410;02/01/18;300;15
X444;411;03/01/18;100;5
X444;412;04/01/18;100;5
X444;413;05/01/18;100;5
X444;414;06/01/18;100;5
X444;415;07/01/18;100;5
X444;416;08/01/18;500;25
X444;417;09/01/18;100;5
X444;418;10/01/18;100;5
X444;419;11/01/18;100;5
X444;420;12/01/18;500;25
X444;421;01/01/19;100;5
X444;422;02/01/19;500;25
X444;423;03/01/19;100;5
X444;424;04/01/19;100;5
X444;425;05/01/19;100;5
X444;426;06/01/19;100;5
X444;427;07/01/19;100;5
X444;428;08/01/19;600;30
X444;429;09/01/19;100;5
X444;430;10/01/19;100;5
X444;431;11/01/19;100;5
X444;432;12/01/19;400;20
X555;433;01/01/18;10;0.5
X555;434;02/01/18;11;0.55
X555;435;03/01/18;19;0.95
X555;436;04/01/18;30;1.5
X555;437;05/01/18;20;1
X555;438;06/01/18;90;4.5
X555;439;07/01/18;19;0.95
X555;440;08/01/18;20;1
X555;441;09/01/18;10;0.5
X555;442;10/01/18;10;0.5
X555;443;11/01/18;30;1.5
X555;444;12/01/18;15;0.75
X555;445;01/01/19;90;4.5
X555;446;02/01/19;80;4
X555;447;03/01/19;30;1.5
X555;448;04/01/19;15;0.75
X555;449;05/01/19;20;1
X555;450;06/01/19;90;4.5
X555;451;07/01/19;90;4.5
X555;452;08/01/19;50;2.5
X555;453;09/01/19;40;2
X555;454;10/01/19;30;1.5
X555;455;11/01/19;10;0.5
X555;456;12/01/19;20;1
X666;457;01/01/18;50;2.5
X666;458;02/01/18;50;2.5
X666;459;03/01/18;50;2.5
X666;460;04/01/18;50;2.5
X666;461;05/01/18;50;2.5
X666;462;06/01/18;50;2.5
X666;463;07/01/18;50;2.5
X666;464;08/01/18;50;2.5
X666;465;09/01/18;50;2.5
X666;466;10/01/18;50;2.5
X666;467;11/01/18;55;2.75
X666;468;12/01/18;55;2.75
X666;469;01/01/19;55;2.75
X666;470;02/01/19;55;2.75
X666;471;03/01/19;55;2.75
X666;472;04/01/19;55;2.75
X666;473;05/01/19;55;2.75
X666;474;06/01/19;55;2.75
X666;475;07/01/19;55;2.75
X666;476;08/01/19;70;3.5
X666;477;09/01/19;70;3.5
X666;478;10/01/19;70;3.5
X666;479;11/01/19;70;3.5
X666;480;12/01/19;10;0.5
X777;481;01/01/18;20;1
X777;482;02/01/18;40;2
X777;483;03/01/18;60;3
X777;484;04/01/18;80;4
X777;485;05/01/18;100;5
X777;486;06/01/18;20;1
X777;487;07/01/18;40;2
X777;488;08/01/18;60;3
X777;489;09/01/18;80;4
X777;490;10/01/18;100;5
X777;491;11/01/18;20;1
X777;492;12/01/18;40;2
X777;493;01/01/19;60;3
X777;494;02/01/19;80;4
X777;495;03/01/19;200;10
X777;496;04/01/19;20;1
X777;497;05/01/19;40;2
X777;498;06/01/19;60;3
X777;499;07/01/19;80;4
X777;500;08/01/19;200;10
X777;501;09/01/19;20;1
X777;502;10/01/19;40;2
X777;503;11/01/19;60;3
X777;504;12/01/19;80;4
X888;505;01/01/18;600;30
X888;506;02/01/18;3000;150
X888;507;03/01/18;2000;100
X888;508;04/01/18;1200;60
X888;509;05/01/18;600;30
X888;510;06/01/18;1200;60
X888;511;07/01/18;3000;150
X888;512;08/01/18;750;37.5
X888;513;09/01/18;2000;100
X888;514;10/01/18;1200;60
X888;515;11/01/18;1200;60
X888;516;12/01/18;750;37.5
X888;517;01/01/19;700;35
X888;518;02/01/19;600;30
X888;519;03/01/19;3000;150
X888;520;04/01/19;700;35
X888;521;05/01/19;750;37.5
X888;522;06/01/19;2000;100
X888;523;07/01/19;750;37.5
X888;524;08/01/19;3000;150
X888;525;09/01/19;750;37.5
X888;526;10/01/19;2000;100
X888;527;11/01/19;600;30
X888;528;12/01/19;600;30
X999;529;01/01/18;10000;500
X999;530;02/01/18;10000;500
X999;531;03/01/18;10000;500
X999;532;04/01/18;10000;500
X999;533;05/01/18;10000;500
X999;534;06/01/18;10000;500
X999;535;07/01/18;10000;500
X999;536;08/01/18;10000;500
X999;537;09/01/18;5000;250
X999;538;10/01/18;5000;250
X999;539;11/01/18;5000;250
X999;540;12/01/18;5000;250
X999;541;01/01/19;5000;250
X999;542;02/01/19;5000;250
X999;543;03/01/19;3000;150
X999;544;04/01/19;3000;150
X999;545;05/01/19;3000;150
X999;546;06/01/19;3000;150
X999;547;07/01/19;3000;150
X999;548;08/01/19;3000;150
X999;549;09/01/19;1500;75
X999;550;10/01/19;1500;75
X999;551;11/01/19;1500;75
X999;552;12/01/19;1500;75
XAAA;553;01/01/18;900;45
XAAA;554;02/01/18;900;45
XAAA;555;03/01/18;900;45
XAAA;556;04/01/18;900;45
XAAA;557;05/01/18;900;45
XAAA;558;06/01/18;100;5
XAAA;559;07/01/18;100;5
XAAA;560;08/01/18;100;5
XAAA;561;09/01/18;100;5
XAAA;562;10/01/18;100;5
XAAA;563;11/01/18;5000;250
XAAA;564;12/01/18;5000;250
XAAA;565;01/01/19;5000;250
XAAA;566;02/01/19;5000;250
XAAA;567;03/01/19;5000;250
XAAA;568;04/01/19;2000;100
XAAA;569;05/01/19;2000;100
XAAA;570;06/01/19;2000;100
XAAA;571;07/01/19;2000;100
XAAA;572;08/01/19;2000;100
XAAA;573;09/01/19;2000;100
XAAA;574;10/01/19;3000;150
XAAA;575;11/01/19;3000;150
XAAA;576;12/01/19;3000;150
XBBB;577;01/01/18;50;2.5
XBBB;578;02/01/18;50;2.5
XBBB;579;03/01/18;150;7.5
XBBB;580;04/01/18;150;7.5
XBBB;581;05/01/18;150;7.5
XBBB;582;06/01/18;250;12.5
XBBB;583;07/01/18;250;12.5
XBBB;584;08/01/18;250;12.5
XBBB;585;09/01/18;350;17.5
XBBB;586;10/01/18;350;17.5
XBBB;587;11/01/18;350;17.5
XBBB;588;12/01/18;350;17.5
XBBB;589;01/01/19;550;27.5
XBBB;590;02/01/19;550;27.5
XBBB;591;03/01/19;550;27.5
XBBB;592;04/01/19;550;27.5
XBBB;593;05/01/19;1050;52.5
XBBB;594;06/01/19;1050;52.5
XBBB;595;07/01/19;1050;52.5
XBBB;596;08/01/19;3000;150
XBBB;597;09/01/19;3000;150
XBBB;598;10/01/19;3000;150
XBBB;599;11/01/19;3000;150
XBBB;600;12/01/19;3000;150
XCCC;601;01/01/18;2500;125
XCCC;602;02/01/18;2500;125
XCCC;603;03/01/18;2500;125
XCCC;604;04/01/18;2500;125
XCCC;605;05/01/18;2500;125
XCCC;606;06/01/18;3000;150
XCCC;607;07/01/18;3000;150
XCCC;608;08/01/18;3000;150
XCCC;609;09/01/18;3000;150
XCCC;610;10/01/18;3000;150
XCCC;611;11/01/18;250;12.5
XCCC;612;12/01/18;250;12.5
XCCC;613;01/01/19;100;5
XCCC;614;02/01/19;100;5
XCCC;615;03/01/19;100;5
XCCC;616;04/01/19;100;5
XCCC;617;05/01/19;500;25
XCCC;618;06/01/19;500;25
XCCC;619;07/01/19;500;25
XCCC;620;08/01/19;1500;75
XCCC;621;09/01/19;1500;75
XCCC;622;10/01/19;1500;75
XCCC;623;11/01/19;2000;100
XCCC;624;12/01/19;2000;100
XDDD;625;01/01/18;33;1.65
XDDD;626;02/01/18;33;1.65
XDDD;627;03/01/18;33;1.65
XDDD;628;04/01/18;33;1.65
XDDD;629;05/01/18;66;3.3
XDDD;630;06/01/18;66;3.3
XDDD;631;07/01/18;66;3.3
XDDD;632;08/01/18;66;3.3
XDDD;633;09/01/18;66;3.3
XDDD;634;10/01/18;66;3.3
XDDD;635;11/01/18;99;4.95
XDDD;636;12/01/18;99;4.95
XDDD;637;01/01/19;99;4.95
XDDD;638;02/01/19;99;4.95
XDDD;639;03/01/19;99;4.95
XDDD;640;04/01/19;99;4.95
XDDD;641;05/01/19;12;0.6
XDDD;642;06/01/19;12;0.6
XDDD;643;07/01/19;12;0.6
XDDD;644;08/01/19;12;0.6
XDDD;645;09/01/19;12;0.6
XEEE;652;04/01/18;200;10
XEEE;653;05/01/18;200;10
XEEE;654;06/01/18;200;10
XEEE;655;07/01/18;65000;3250
XEEE;657;09/01/18;65000;3250
XEEE;658;10/01/18;65000;3250
XEEE;659;11/01/18;500;25
XEEE;660;12/01/18;500;25
XEEE;661;01/01/19;500;25
XEEE;662;02/01/19;500;25
XEEE;663;03/01/19;9800;490
XEEE;664;04/01/19;9800;490
XEEE;665;05/01/19;9800;490
XEEE;666;06/01/19;9800;490
XEEE;667;07/01/19;400;20
XEEE;668;08/01/19;400;20
XEEE;669;09/01/19;400;20
