Plant,Material,Revenue,Quantity,Running,Subtotals,ABC
X111,341,1500,75.0,46050,83.33333333333334,B
X111,350,1500,75.0,47550,87.5,B
X111,354,1500,75.0,49050,91.66666666666666,B
X111,357,1500,75.0,50550,95.83333333333334,C
X111,359,1000,50.0,51550,100.0,C
X222,362,700,35.0,700,4.166666666666666,A
X222,371,700,35.0,1400,8.333333333333332,A
X222,377,700,35.0,2100,12.5,A
X222,381,700,35.0,2800,16.666666666666664,A
X222,364,600,30.0,3400,20.833333333333336,A
X222,365,600,30.0,4000,25.0,A
X222,368,600,30.0,4600,29.166666666666668,A
X222,369,600,30.0,5200,33.33333333333333,A
X222,370,600,30.0,5800,37.5,A
X222,374,600,30.0,6400,41.66666666666667,A
X222,378,600,30.0,7000,45.83333333333333,A
X222,379,600,30.0,7600,50.0,A
X222,380,600,30.0,8200,54.166666666666664,A
X222,384,600,30.0,8800,58.333333333333336,A
X222,363,500,25.0,9300,62.5,A
X222,367,500,25.0,9800,66.66666666666666,A
X222,373,500,25.0,10300,70.83333333333334,A
X222,376,500,25.0,10800,75.0,A
X222,383,500,25.0,11300,79.16666666666666,A
X222,361,400,20.0,11700,83.33333333333334,B
X222,366,400,20.0,12100,87.5,B
X222,372,400,20.0,12500,91.66666666666666,B
X222,375,400,20.0,12900,95.83333333333334,C
X222,382,400,20.0,13300,100.0,C
X333,405,2000,100.0,2000,4.166666666666666,A
X333,407,1600,80.0,3600,8.333333333333332,A
X333,401,1440,72.0,5040,12.5,A
X333,403,1440,72.0,6480,16.666666666666664,A
X333,404,1440,72.0,7920,20.833333333333336,A
X333,406,1440,72.0,9360,25.0,A
X333,408,1440,72.0,10800,29.166666666666668,A
X333,402,1200,60.0,12000,33.33333333333333,A
X333,395,1100,55.0,13100,37.5,A
X333,396,1100,55.0,14200,41.66666666666667,A
X333,397,1100,55.0,15300,45.83333333333333,A
X333,399,1100,55.0,16400,50.0,A
X333,400,1100,55.0,17500,54.166666666666664,A
X333,398,1050,52.5,18550,58.333333333333336,A
X333,385,1000,50.0,19550,62.5,A
X333,386,1000,50.0,20550,66.66666666666666,A
X333,387,1000,50.0,21550,70.83333333333334,A
X333,389,1000,50.0,22550,75.0,A
X333,390,1000,50.0,23550,79.16666666666666,A
X333,391,1000,50.0,24550,83.33333333333334,B
X333,392,1000,50.0,25550,87.5,B
X333,393,1000,50.0,26550,91.66666666666666,B
X333,394,800,40.0,27350,95.83333333333334,C
X333,388,500,25.0,27850,100.0,C
X444,428,600,30.0,600,4.166666666666666,A
X444,416,500,25.0,1100,8.333333333333332,A
X444,420,500,25.0,1600,12.5,A
X444,422,500,25.0,2100,16.666666666666664,A
X444,432,400,20.0,2500,20.833333333333336,A
X444,410,300,15.0,2800,25.0,A
X444,409,100,5.0,2900,29.166666666666668,A
X444,411,100,5.0,3000,33.33333333333333,A
X444,412,100,5.0,3100,37.5,A
X444,413,100,5.0,3200,41.66666666666667,A
X444,414,100,5.0,3300,45.83333333333333,A
X444,415,100,5.0,3400,50.0,A
X444,417,100,5.0,3500,54.166666666666664,A
X444,418,100,5.0,3600,58.333333333333336,A
X444,419,100,5.0,3700,62.5,A
X444,421,100,5.0,3800,66.66666666666666,A
X444,423,100,5.0,3900,70.83333333333334,A
X444,424,100,5.0,4000,75.0,A
X444,425,100,5.0,4100,79.16666666666666,A
X444,426,100,5.0,4200,83.33333333333334,B
X444,427,100,5.0,4300,87.5,B
X444,429,100,5.0,4400,91.66666666666666,B
X444,430,100,5.0,4500,95.83333333333334,C
X444,431,100,5.0,4600,100.0,C
X555,438,90,4.5,90,4.166666666666666,A
X555,445,90,4.5,180,8.333333333333332,A
X555,450,90,4.5,270,12.5,A
X555,451,90,4.5,360,16.666666666666664,A
X555,446,80,4.0,440,20.833333333333336,A
X555,452,50,2.5,490,25.0,A
X555,453,40,2.0,530,29.166666666666668,A
X555,436,30,1.5,560,33.33333333333333,A
X555,443,30,1.5,590,37.5,A
X555,447,30,1.5,620,41.66666666666667,A
X555,454,30,1.5,650,45.83333333333333,A
X555,437,20,1.0,670,50.0,A
X555,440,20,1.0,690,54.166666666666664,A
X555,449,20,1.0,710,58.333333333333336,A
X555,456,20,1.0,730,62.5,A
X555,435,19,0.95,749,66.66666666666666,A
X555,439,19,0.95,768,70.83333333333334,A
X555,444,15,0.75,783,75.0,A
X555,448,15,0.75,798,79.16666666666666,A
X555,434,11,0.55,809,83.33333333333334,B
X555,433,10,0.5,819,87.5,B
X555,441,10,0.5,829,91.66666666666666,B
X555,442,10,0.5,839,95.83333333333334,C
X555,455,10,0.5,849,100.0,C
X666,476,70,3.5,70,4.166666666666666,A
X666,477,70,3.5,140,8.333333333333332,A
X666,478,70,3.5,210,12.5,A
X666,479,70,3.5,280,16.666666666666664,A
X666,467,55,2.75,335,20.833333333333336,A
X666,468,55,2.75,390,25.0,A
X666,469,55,2.75,445,29.166666666666668,A
X666,470,55,2.75,500,33.33333333333333,A
X666,471,55,2.75,555,37.5,A
X666,472,55,2.75,610,41.66666666666667,A
X666,473,55,2.75,665,45.83333333333333,A
X666,474,55,2.75,720,50.0,A
X666,475,55,2.75,775,54.166666666666664,A
X666,457,50,2.5,825,58.333333333333336,A
X666,458,50,2.5,875,62.5,A
X666,459,50,2.5,925,66.66666666666666,A
X666,460,50,2.5,975,70.83333333333334,A
X666,461,50,2.5,1025,75.0,A
X666,462,50,2.5,1075,79.16666666666666,A
X666,463,50,2.5,1125,83.33333333333334,B
X666,464,50,2.5,1175,87.5,B
X666,465,50,2.5,1225,91.66666666666666,B
X666,466,50,2.5,1275,95.83333333333334,C
X666,480,10,0.5,1285,100.0,C
X777,495,200,10.0,200,4.166666666666666,A
X777,500,200,10.0,400,8.333333333333332,A
X777,485,100,5.0,500,12.5,A
X777,490,100,5.0,600,16.666666666666664,A
X777,484,80,4.0,680,20.833333333333336,A
X777,489,80,4.0,760,25.0,A
X777,494,80,4.0,840,29.166666666666668,A
X777,499,80,4.0,920,33.33333333333333,A
X777,504,80,4.0,1000,37.5,A
X777,483,60,3.0,1060,41.66666666666667,A
X777,488,60,3.0,1120,45.83333333333333,A
X777,493,60,3.0,1180,50.0,A
X777,498,60,3.0,1240,54.166666666666664,A
X777,503,60,3.0,1300,58.333333333333336,A
X777,482,40,2.0,1340,62.5,A
X777,487,40,2.0,1380,66.66666666666666,A
X777,492,40,2.0,1420,70.83333333333334,A
X777,497,40,2.0,1460,75.0,A
X777,502,40,2.0,1500,79.16666666666666,A
X777,481,20,1.0,1520,83.33333333333334,B
X777,486,20,1.0,1540,87.5,B
X777,491,20,1.0,1560,91.66666666666666,B
X777,496,20,1.0,1580,95.83333333333334,C
X777,501,20,1.0,1600,100.0,C
X888,506,3000,150.0,3000,4.166666666666666,A
X888,511,3000,150.0,6000,8.333333333333332,A
X888,519,3000,150.0,9000,12.5,A
X888,524,3000,150.0,12000,16.666666666666664,A
X888,507,2000,100.0,14000,20.833333333333336,A
X888,513,2000,100.0,16000,25.0,A
X888,522,2000,100.0,18000,29.166666666666668,A
X888,526,2000,100.0,20000,33.33333333333333,A
X888,508,1200,60.0,21200,37.5,A
X888,510,1200,60.0,22400,41.66666666666667,A
X888,514,1200,60.0,23600,45.83333333333333,A
X888,515,1200,60.0,24800,50.0,A
X888,512,750,37.5,25550,54.166666666666664,A
X888,516,750,37.5,26300,58.333333333333336,A
X888,521,750,37.5,27050,62.5,A
X888,523,750,37.5,27800,66.66666666666666,A
X888,525,750,37.5,28550,70.83333333333334,A
X888,517,700,35.0,29250,75.0,A
X888,520,700,35.0,29950,79.16666666666666,A
X888,505,600,30.0,30550,83.33333333333334,B
X888,509,600,30.0,31150,87.5,B
X888,518,600,30.0,31750,91.66666666666666,B
X888,527,600,30.0,32350,95.83333333333334,C
X888,528,600,30.0,32950,100.0,C
X999,529,10000,500.0,10000,4.166666666666666,A
X999,530,10000,500.0,20000,8.333333333333332,A
X999,531,10000,500.0,30000,12.5,A
X999,532,10000,500.0,40000,16.666666666666664,A
X999,533,10000,500.0,50000,20.833333333333336,A
X999,534,10000,500.0,60000,25.0,A
X999,535,10000,500.0,70000,29.166666666666668,A
X999,536,10000,500.0,80000,33.33333333333333,A
X999,537,5000,250.0,85000,37.5,A
X999,538,5000,250.0,90000,41.66666666666667,A
X999,539,5000,250.0,95000,45.83333333333333,A
X999,540,5000,250.0,100000,50.0,A
X999,541,5000,250.0,105000,54.166666666666664,A
X999,542,5000,250.0,110000,58.333333333333336,A
X999,543,3000,150.0,113000,62.5,A
X999,544,3000,150.0,116000,66.66666666666666,A
X999,545,3000,150.0,119000,70.83333333333334,A
X999,546,3000,150.0,122000,75.0,A
X999,547,3000,150.0,125000,79.16666666666666,A
X999,548,3000,150.0,128000,83.33333333333334,B
X999,549,1500,75.0,129500,87.5,B
X999,550,1500,75.0,131000,91.66666666666666,B
X999,551,1500,75.0,132500,95.83333333333334,C
X999,552,1500,75.0,134000,100.0,C
XAAA,563,5000,250.0,5000,4.166666666666666,A
XAAA,564,5000,250.0,10000,8.333333333333332,A
XAAA,565,5000,250.0,15000,12.5,A
XAAA,566,5000,250.0,20000,16.666666666666664,A
XAAA,567,5000,250.0,25000,20.833333333333336,A
XAAA,574,3000,150.0,28000,25.0,A
XAAA,575,3000,150.0,31000,29.166666666666668,A
XAAA,576,3000,150.0,34000,33.33333333333333,A
XAAA,568,2000,100.0,36000,37.5,A
XAAA,569,2000,100.0,38000,41.66666666666667,A
XAAA,570,2000,100.0,40000,45.83333333333333,A
XAAA,571,2000,100.0,42000,50.0,A
XAAA,572,2000,100.0,44000,54.166666666666664,A
XAAA,573,2000,100.0,46000,58.333333333333336,A
XAAA,553,900,45.0,46900,62.5,A
XAAA,554,900,45.0,47800,66.66666666666666,A
XAAA,555,900,45.0,48700,70.83333333333334,A
XAAA,556,900,45.0,49600,75.0,A
XAAA,557,900,45.0,50500,79.16666666666666,A
XAAA,558,100,5.0,50600,83.33333333333334,B
XAAA,559,100,5.0,50700,87.5,B
XAAA,560,100,5.0,50800,91.66666666666666,B
XAAA,561,100,5.0,50900,95.83333333333334,C
XAAA,562,100,5.0,51000,100.0,C
XBBB,596,3000,150.0,3000,4.166666666666666,A
XBBB,597,3000,150.0,6000,8.333333333333332,A
XBBB,598,3000,150.0,9000,12.5,A
XBBB,599,3000,150.0,12000,16.666666666666664,A
XBBB,600,3000,150.0,15000,20.833333333333336,A
XBBB,593,1050,52.5,16050,25.0,A
XBBB,594,1050,52.5,17100,29.166666666666668,A
XBBB,595,1050,52.5,18150,33.33333333333333,A
XBBB,589,550,27.5,18700,37.5,A
XBBB,590,550,27.5,19250,41.66666666666667,A
XBBB,591,550,27.5,19800,45.83333333333333,A
XBBB,592,550,27.5,20350,50.0,A
XBBB,585,350,17.5,20700,54.166666666666664,A
XBBB,586,350,17.5,21050,58.333333333333336,A
XBBB,587,350,17.5,21400,62.5,A
XBBB,588,350,17.5,21750,66.66666666666666,A
XBBB,582,250,12.5,22000,70.83333333333334,A
XBBB,583,250,12.5,22250,75.0,A
XBBB,584,250,12.5,22500,79.16666666666666,A
XBBB,579,150,7.5,22650,83.33333333333334,B
XBBB,580,150,7.5,22800,87.5,B
XBBB,581,150,7.5,22950,91.66666666666666,B
XBBB,577,50,2.5,23000,95.83333333333334,C
XBBB,578,50,2.5,23050,100.0,C
XCCC,606,3000,150.0,3000,4.166666666666666,A
XCCC,607,3000,150.0,6000,8.333333333333332,A
XCCC,608,3000,150.0,9000,12.5,A
XCCC,609,3000,150.0,12000,16.666666666666664,A
XCCC,610,3000,150.0,15000,20.833333333333336,A
XCCC,601,2500,125.0,17500,25.0,A
XCCC,602,2500,125.0,20000,29.166666666666668,A
XCCC,603,2500,125.0,22500,33.33333333333333,A
XCCC,604,2500,125.0,25000,37.5,A
XCCC,605,2500,125.0,27500,41.66666666666667,A
XCCC,623,2000,100.0,29500,45.83333333333333,A
XCCC,624,2000,100.0,31500,50.0,A
XCCC,620,1500,75.0,33000,54.166666666666664,A
XCCC,621,1500,75.0,34500,58.333333333333336,A
XCCC,622,1500,75.0,36000,62.5,A
XCCC,617,500,25.0,36500,66.66666666666666,A
XCCC,618,500,25.0,37000,70.83333333333334,A
XCCC,619,500,25.0,37500,75.0,A
XCCC,611,250,12.5,37750,79.16666666666666,A
XCCC,612,250,12.5,38000,83.33333333333334,B
XCCC,613,100,5.0,38100,87.5,B
XCCC,614,100,5.0,38200,91.66666666666666,B
XCCC,615,100,5.0,38300,95.83333333333334,C
XCCC,616,100,5.0,38400,100.0,C
XDDD,635,99,4.95,99,4.761904761904762,A
XDDD,636,99,4.95,198,9.523809523809524,A
XDDD,637,99,4.95,297,14.285714285714285,A
XDDD,638,99,4.95,396,19.047619047619047,A
XDDD,639,99,4.95,495,23.809523809523807,A
XDDD,640,99,4.95,594,28.57142857142857,A
